"basePlot","n_samples"
"ONAQ_004.basePlot.bgc",3
"ONAQ_005.basePlot.bgc",3
"ONAQ_007.basePlot.bgc",1
"ONAQ_008.basePlot.bgc",3
"ONAQ_010.basePlot.bgc",3
"ONAQ_012.basePlot.bgc",1
"ONAQ_017.basePlot.bgc",1
"ONAQ_041.basePlot.bgc",3
"ONAQ_042.basePlot.bgc",3
"ONAQ_043.basePlot.bgc",3
"ONAQ_044.basePlot.bgc",3
"ORNL_001.basePlot.bgc",3
"ORNL_002.basePlot.bgc",3
"ORNL_003.basePlot.bgc",3
"ORNL_021.basePlot.bgc",3
"ORNL_027.basePlot.bgc",3
"ORNL_029.basePlot.bgc",3
"ORNL_043.basePlot.bgc",3
"ORNL_046.basePlot.bgc",3
"ORNL_049.basePlot.bgc",3
"ORNL_053.basePlot.bgc",3
"OSBS_001.basePlot.bgc",3
"OSBS_002.basePlot.bgc",2
"OSBS_003.basePlot.bgc",4
"OSBS_005.basePlot.bgc",2
"OSBS_022.basePlot.bgc",2
"OSBS_023.basePlot.bgc",2
"OSBS_026.basePlot.bgc",3
"OSBS_027.basePlot.bgc",3
"OSBS_029.basePlot.bgc",2
"OSBS_031.basePlot.bgc",3
"RMNP_002.basePlot.bgc",1
"RMNP_004.basePlot.bgc",1
"RMNP_005.basePlot.bgc",1
"RMNP_006.basePlot.bgc",1
"RMNP_013.basePlot.bgc",1
"RMNP_019.basePlot.bgc",2
"RMNP_041.basePlot.bgc",2
"RMNP_043.basePlot.bgc",1
"RMNP_044.basePlot.bgc",1
"RMNP_045.basePlot.bgc",1
"SCBI_002.basePlot.bgc",3
"SCBI_003.basePlot.bgc",6
"SCBI_004.basePlot.bgc",2
"SCBI_005.basePlot.bgc",2
"SCBI_006.basePlot.bgc",4
"SCBI_008.basePlot.bgc",2
"SCBI_012.basePlot.bgc",3
"SCBI_045.basePlot.bgc",2
"SCBI_047.basePlot.bgc",2
"SCBI_049.basePlot.bgc",2
"SCBI_067.basePlot.bgc",2
"SERC_001.basePlot.bgc",1
"SERC_002.basePlot.bgc",1
"SERC_003.basePlot.bgc",1
"SERC_004.basePlot.bgc",1
"SERC_005.basePlot.bgc",1
"SERC_007.basePlot.bgc",1
"SERC_044.basePlot.bgc",1
"SERC_045.basePlot.bgc",1
"SERC_047.basePlot.bgc",1
"SERC_049.basePlot.bgc",1
"SJER_001.basePlot.bgc",3
"SJER_002.basePlot.bgc",2
"SJER_003.basePlot.bgc",2
"SJER_004.basePlot.bgc",2
"SJER_005.basePlot.bgc",2
"SJER_025.basePlot.bgc",3
"SJER_045.basePlot.bgc",2
"SJER_046.basePlot.bgc",2
"SJER_047.basePlot.bgc",2
"SJER_048.basePlot.bgc",2
"SOAP_001.basePlot.bgc",1
"SOAP_002.basePlot.bgc",1
"SOAP_003.basePlot.bgc",1
"SOAP_004.basePlot.bgc",1
"SOAP_005.basePlot.bgc",1
"SOAP_031.basePlot.bgc",1
"SOAP_043.basePlot.bgc",1
"SOAP_044.basePlot.bgc",1
"SOAP_045.basePlot.bgc",1
"SRER_001.basePlot.bgc",2
"SRER_002.basePlot.bgc",1
"SRER_003.basePlot.bgc",1
"SRER_004.basePlot.bgc",2
"SRER_005.basePlot.bgc",2
"SRER_043.basePlot.bgc",2
"SRER_047.basePlot.bgc",2
"SRER_052.basePlot.bgc",1
"SRER_053.basePlot.bgc",2
"STEI_001.basePlot.bgc",2
"STEI_002.basePlot.bgc",2
"STEI_003.basePlot.bgc",3
"STEI_004.basePlot.bgc",2
"STEI_005.basePlot.bgc",1
"STEI_008.basePlot.bgc",2
"STEI_021.basePlot.bgc",2
"STEI_047.basePlot.bgc",1
"STEI_053.basePlot.bgc",2
"STEI_059.basePlot.bgc",3
"STEI_060.basePlot.bgc",4
"STER_005.basePlot.bgc",1
"STER_006.basePlot.bgc",2
"STER_010.basePlot.bgc",1
"STER_011.basePlot.bgc",1
"STER_012.basePlot.bgc",1
"STER_016.basePlot.bgc",1
"STER_018.basePlot.bgc",1
"STER_026.basePlot.bgc",2
"STER_027.basePlot.bgc",2
"STER_028.basePlot.bgc",2
"STER_029.basePlot.bgc",2
"STER_031.basePlot.bgc",2
"STER_033.basePlot.bgc",1
"STER_034.basePlot.bgc",1
"STER_035.basePlot.bgc",1
"TALL_001.basePlot.bgc",4
"TALL_002.basePlot.bgc",3
"TALL_003.basePlot.bgc",2
"TALL_004.basePlot.bgc",3
"TALL_006.basePlot.bgc",3
"TALL_007.basePlot.bgc",4
"TALL_044.basePlot.bgc",3
"TALL_047.basePlot.bgc",4
"TALL_051.basePlot.bgc",4
"TALL_054.basePlot.bgc",3
"TOOL_001.basePlot.bgc",2
"TOOL_002.basePlot.bgc",2
"TOOL_003.basePlot.bgc",1
"TOOL_004.basePlot.bgc",2
"TOOL_005.basePlot.bgc",2
"TOOL_006.basePlot.bgc",2
"TOOL_041.basePlot.bgc",2
"TOOL_042.basePlot.bgc",2
"TOOL_043.basePlot.bgc",2
"TOOL_044.basePlot.bgc",2
"TREE_001.basePlot.bgc",1
"TREE_002.basePlot.bgc",1
"TREE_003.basePlot.bgc",1
"TREE_004.basePlot.bgc",1
"TREE_006.basePlot.bgc",1
"TREE_014.basePlot.bgc",1
"TREE_041.basePlot.bgc",1
"TREE_046.basePlot.bgc",1
"TREE_049.basePlot.bgc",1
"TREE_050.basePlot.bgc",1
"UKFS_001.basePlot.bgc",3
"UKFS_002.basePlot.bgc",3
"UKFS_003.basePlot.bgc",3
"UKFS_004.basePlot.bgc",3
"UKFS_005.basePlot.bgc",3
"UKFS_009.basePlot.bgc",3
"UKFS_031.basePlot.bgc",3
"UKFS_032.basePlot.bgc",3
"UKFS_043.basePlot.bgc",3
"UKFS_044.basePlot.bgc",3
"UNDE_001.basePlot.bgc",5
"UNDE_002.basePlot.bgc",2
"UNDE_003.basePlot.bgc",3
"UNDE_006.basePlot.bgc",3
"UNDE_007.basePlot.bgc",1
"UNDE_008.basePlot.bgc",2
"UNDE_010.basePlot.bgc",4
"UNDE_013.basePlot.bgc",1
"UNDE_014.basePlot.bgc",1
"UNDE_027.basePlot.bgc",1
"UNDE_034.basePlot.bgc",2
"UNDE_035.basePlot.bgc",2
"UNDE_037.basePlot.bgc",4
"UNDE_038.basePlot.bgc",5
"UNDE_043.basePlot.bgc",3
"UNDE_044.basePlot.bgc",4
"WOOD_001.basePlot.bgc",1
"WOOD_002.basePlot.bgc",2
"WOOD_003.basePlot.bgc",2
"WOOD_004.basePlot.bgc",1
"WOOD_005.basePlot.bgc",1
"WOOD_024.basePlot.bgc",1
"WOOD_042.basePlot.bgc",1
"WOOD_043.basePlot.bgc",2
"WOOD_044.basePlot.bgc",2
"WOOD_045.basePlot.bgc",2
"WREF_001.basePlot.bgc",2
"WREF_003.basePlot.bgc",1
"WREF_004.basePlot.bgc",1
"WREF_005.basePlot.bgc",1
"WREF_007.basePlot.bgc",1
"WREF_008.basePlot.bgc",1
"WREF_070.basePlot.bgc",1
"WREF_072.basePlot.bgc",2
"WREF_073.basePlot.bgc",1
"YELL_001.basePlot.bgc",1
"YELL_002.basePlot.bgc",1
"YELL_003.basePlot.bgc",1
"YELL_009.basePlot.bgc",1
"YELL_012.basePlot.bgc",1
"YELL_016.basePlot.bgc",1
"YELL_046.basePlot.bgc",1
"YELL_048.basePlot.bgc",1
"YELL_051.basePlot.bgc",1
"YELL_052.basePlot.bgc",1
